scoutId,regio1,regio2,regio3,geo_plz,baseRent,totalRent,serviceCharge,heatingCosts,livingSpace,noRooms,yearConstructed,condition,typeOfFlat,energyEfficiencyClass,heatingType,pricetrend,newlyConst,balcony,lift,cellar,garden,hasKitchen,date
109019867,Brandenburg,Cottbus,Sachsendorf,3048,209.83,308.79,98.96,,38.15,1.0,1976.0,,,,district_heating,1.92,False,True,True,False,False,False,May19
100698243,Baden_Württemberg,Baden_Baden,Lichtental,76530,650.0,,140.0,,74.5,3.0,1958.0,well_kept,apartment,,self_contained_central_heating,4.64,False,True,False,True,False,True,Oct19
105967982,Baden_Württemberg,Heilbronn_Kreis,Bad_Rappenau,74906,1250.0,1500.0,250.0,,123.0,4.5,2006.0,mint_condition,apartment,,central_heating,6.41,False,True,True,True,True,True,Sep18
115696343,Sachsen,Leipzig_Kreis,Wurzen,4808,380.0,550.0,170.0,,71.71,3.0,1994.0,,maisonette,,central_heating,2.83,False,True,False,False,False,False,Feb20
115522904,Nordrhein_Westfalen,Aachen,Innenstadt,52064,454.5,528.5,74.0,,23.0,1.0,2019.0,well_kept,,,district_heating,3.02,True,True,True,True,False,True,Feb20
104213182,Sachsen,Meißen_Kreis,Zabeltitz,1561,283.0,396.0,113.0,,62.0,2.0,,well_kept,ground_floor,,,0.59,False,True,False,False,False,False,Feb20
113392233,Schleswig_Holstein,Ostholstein_Kreis,Scharbeutz,23683,816.0,1026.0,130.0,80.0,68.0,2.0,1928.0,fully_renovated,apartment,,gas_heating,6.14,False,True,False,True,False,True,Feb20
113430218,Baden_Württemberg,Esslingen_Kreis,Bempflingen,72658,1250.0,1470.0,220.0,,95.0,4.0,2019.0,first_time_use,apartment,,,4.37,True,True,False,True,False,True,Oct19
113831189,Niedersachsen,Osnabrück,Westerberg,49076,840.0,940.0,100.0,,84.0,3.0,1992.0,well_kept,ground_floor,,self_contained_central_heating,3.61,False,False,False,True,True,False,Oct19
113432106,Bayern,Nürnberg,Glockenhof,90478,359.0,462.17,103.17,,21.81,1.0,2014.0,mint_condition,apartment,NO_INFORMATION,floor_heating,4.72,False,False,True,True,False,True,Oct19
71557005,Bremen,Bremerhaven,Mitte,27568,400.0,583.0,113.0,70.0,78.0,3.0,1928.0,modernized,apartment,,central_heating,2.64,False,True,False,True,False,False,Feb20
112956250,Berlin,Berlin,Karow_Weißensee,13125,899.0,1137.0,238.0,79.0,86.87,4.0,1997.0,,apartment,C,district_heating,6.91,False,True,False,True,False,False,Oct19
115358716,Sachsen,Leipzig,Lausen_Grünau,4207,549.51,717.91,88.63,79.77,88.63,3.0,1985.0,refurbished,apartment,C,central_heating,3.8,False,True,False,False,False,False,Feb20
60339321,Hessen,Wetteraukreis,Karben,61184,750.0,900.0,50.0,100.0,74.0,3.0,,modernized,ground_floor,,central_heating,4.65,False,True,False,True,False,True,Feb20
115309660,Rheinland_Pfalz,Bad_Dürkheim_Kreis,Meckenheim,67149,800.0,925.0,125.0,,111.8,3.0,1900.0,first_time_use_after_refurbishment,apartment,,gas_heating,4.33,False,False,False,False,False,False,Feb20
30036500,Schleswig_Holstein,Kiel,Ravensberg,24103,690.0,790.0,50.0,50.0,58.0,2.0,1920.0,fully_renovated,apartment,,central_heating,3.57,False,True,False,True,True,True,May19
112242833,Sachsen,Leipzig,Gohlis_Nord,4157,1800.0,2280.0,480.0,,187.0,5.0,1900.0,first_time_use_after_refurbishment,loft,,,3.52,False,True,False,False,False,True,Oct19
113820152,Baden_Württemberg,Stuttgart,Bad_Cannstatt,70374,750.0,950.0,200.0,,35.0,1.0,1990.0,,apartment,,,5.63,False,False,False,False,False,False,Oct19
79871624,Nordrhein_Westfalen,Neuss_Rhein_Kreis,Neuss,41464,620.0,800.0,180.0,,64.0,2.0,1950.0,refurbished,apartment,NO_INFORMATION,central_heating,3.95,False,False,False,True,False,False,Oct19
113872397,Nordrhein_Westfalen,Gelsenkirchen,Bulmke_Hüllen,45888,350.0,,40.0,40.0,40.0,1.5,1950.0,well_kept,ground_floor,,central_heating,1.92,False,True,False,False,False,True,Oct19
113857445,Nordrhein_Westfalen,Düsseldorf,Lörick,40547,675.0,775.0,100.0,,55.56,2.0,1999.0,,,,,4.62,False,True,True,False,False,False,Oct19
